organization,title,category,keywords,source
마이크로소프트,Microsoft Academy (마이크로소프트 아카데미) Microsoft AI School 9기 | Microsoft Data School 3기,AI/ML,"AI기본, Github, 파이썬, 클라우드, 데이터수집및전처리, 인공신경망및전이학습, 머신러닝",data_category
아시아경제 교육센터,AI·데이터분석 기반 서비스 기획&개발 4기,데이터분석,"Python, PowerBI, 통계, 데이터베이스, SQL, Pandas, Git, JSON, BI, 시각화",data_category
iM뱅크,iM DiGital Banker Academy 데이터 분석 전문가 양성과정 7-8기,데이터사이언스,"파이썬, 금융데이터, Tableau, 시계열모델, 머신러닝, 딥러닝, 추천시스템",data_category
멀티캠퍼스,데이터 분석가 부트캠프(AI 활용) 12월 개강,데이터분석,"python, SQL, 머신러닝, 딥러닝, Git/Github",data_category
청년취업사관학교 도봉캠퍼스,제조AI인재양성부트캠프-생성형AI/빅데이터 실무프로젝트  3기,데이터분석,"파이썬, 머신러닝, 딥러닝, 컴퓨터비전, 머신비전, 시계열분석, 데이터분석, 최적화, 수요예측AI, 생성형AI",data_category
멀티캠퍼스,개발 생산성을 높이는 파이썬 프로그래밍 (with ChatGPT),데이터분석,"Python, ChatGpt, PowerBI",data_category
청년취업사관학교 도봉캠퍼스(SeSAC),AI와 함께 생각하는 AI 서비스 개발자 양성과정,AI서비스,"LangChain, ChatGPT, React, python, CURSOR, GitHub, JAVA, HTML, CSS",data_category
SeSAC,AI 시대 맞춤형 데이터 분석가 양성 과정 강북 3기(추가 모집),데이터분석,"SQL, Python, Tableau, 데이터분석, 데이터시각화, BI, 자동화, AI, 비즈니스, 기획력",data_category
청년취업사관학교 용산캠퍼스,데이터 분석 및 생성형 AI 기반 자동화 시스템 개발 과정,AI서비스,"Claude, LangChain, RAG, HuggingFace, 데이터분석, 서비스기획, python, LLM",data_category
렛유인,AI 활용 디스플레이 공정 데이터분석 및 시각화,데이터분석,"Tidyverse, 데이터시각화, 인터렉티브시각화, ggplot, 통계, 포토공정, 드라이에치, 스퍼터공정, Quarto",data_category
코드잇,[4주 완성] 누구나 쉽게 써먹는 파이썬 데이터 분석,데이터분석,"파이썬, Pandas, Numpy, Seaborn, Matplotlib, 통계기초, 대형마트고객데이터분석프로젝트",data_category
모두의연구소,"스타트업 실무자와 리더 모두 꼭 필요한 ""생성AI 시대” 비즈니스 생존 전략",AI/ML,"AI기술에대한이해, AI접근방법, AI서비스와상용화, AI기업투자전략, AGI, 생성형AI툴",data_category
스파르타코딩클럽,[왕초보] AI와 노코드로 업무 자동화 끝내기,AI서비스,"Zapier, ChatGPT, 업무자동화",data_category
스파르타코딩클럽,실무에 바로 쓰는 바닥부터 시작하는 머신러닝,AI/ML,"Python, Anaconda, Pandas, Numpy, Scikit-learn, 머신러닝, 데이터전처리, 지도학습모델",data_category
모두의연구소,딥러닝 한번에 끝내기,AI/ML,"딥러닝, 머신러닝, AI",data_category
스파르타코딩클럽,5주 완성 데이터 시각화 마스터 클래스,데이터사이언스,Tableau,data_category
(사)스마트인재개발원,언어지능 실무캠프,AI서비스,"Database, 딥러닝, Spring, 클라우드, 챗봇, Python, Flask, Crawling, Web, JavaScript",data_category
모두의연구소,"[첫걸음] 기본부터 탄탄하게, 파이썬 데이터 분석 첫 만남",데이터분석,"파이썬, 데이터분석, pandas, 데이터시각화, matplotlib, seaborn",data_category
스파르타코딩클럽,AI가 처음이어도 쉽게 배우는 생성형 AI A to Z,AI/ML,"Gradio, HuggingFace, ChatGPT, 챗봇, RAG, VectorDB, 랭체인",data_category
멀티캠퍼스,코드 어시스턴트를 활용한 바이브코딩 [12월 개설],AI/ML,"LLM, AI, 파이썬",data_category
모두의연구소,"[AI 능력자] 바이브 코딩 with Cursor: 챗봇, DB 배포까지",AI서비스,"웹서비스, cursor, 커서, AI풀스택, 챗봇",data_category
스파르타코딩클럽,실무에 바로 쓰는 기초가 탄탄한 딥러닝,AI/ML,"딥러닝, ANN, CNN, RNN, NLP, Transformer, 전이학습, 과적합방지, 모델평가, 최적화기법",data_category
스파르타코딩클럽,[왕초보] 엑셀보다 쉽고 빠른 SQL,데이터분석,"SQL, 문법, 쿼리",data_category
모두의연구소,"[첫걸음] 데이터를 보는 눈, 파이썬으로 배우는 통계 기초",데이터분석,"파이썬, 통계기초, 데이터분석, 데이터전처리, 데이터시각화, 모델링",data_category
한컴아카데미,NVIDIA AI ACADEMY 9기,AI/ML,"딥러닝, C/C++, 파이썬, 임베디드, CUDA, TensorFlow, RNN,LSTM,GRU",data_category
스파르타코딩클럽,3주 완성! 회사에서 바로 쓰는 SQL 스터디,데이터분석,SQL,data_category
스파르타코딩클럽,[왕초보] AI 기반 투자 수익률 분석 실습을 통한 데이터 분석 역량 키우기,데이터분석,"파이썬, 라이브러리, API연동, EDA, 딥러닝",data_category
인천일보아카데미 잇츠캠퍼스,코딩없이 배우는 인공지능 기초&챗GPT 활용,AI/ML,"챗GPT, Scratch, 이미지인식, TeachableMachine, MachineLearning, DialogFlow",data_category
윈스펙,쉽게 배워 바로 쓰는 AI 딥러닝 실무 과정,AI/ML,"PyTorch, 파이썬, openCV, CNN",data_category
윈스펙,비전공자도 쉽게 배우는 핀테크 인공지능 기초실습,AI/ML,"핀테크, 머신러닝, 딥러닝, 데이터수집, 데이터전처리, 추천모델",data_category
윈스펙원격평생교육원,비전공자도 쉽게 배우는 품질관리 AI 데이터분석 실습,데이터분석,"파이썬, numpy, pandas, 수입검사, 공정검사, 출하검사, 기계설비유지, C/S품질관리, TQM",data_category
윈스펙,비전공자도 쉽게 배우는 생산관리 데이터분석 실습,데이터분석,"스마트팩토리, 라인밸런싱, 불량률, 스케쥴링, 재고관리, 원가관리, 생산관리, 파이썬",data_category
인천일보아카데미 잇츠캠퍼스,파이썬으로 유튜브 데이터 가지고 놀기 feat.웹 크롤링,데이터사이언스,"웹크롤링, 유튜브데이터, 데이터수집, 데이터분석",data_category
잇츠캠퍼스,음성인식 서비스 개발을 위한 딥러닝 프로젝트,AI/ML,"python, ann, gpt, bert, bpe, 딥러닝, 토크나이저, 언어모델, transfomer",data_category
패스트캠퍼스,AI 반도체 첫 걸음: LLM과 Computer Vision,AI/ML,"AI반도체, NPU, GPU, 인공지능, MLP, CNN, 비전모델, Warboy",data_category
애드인에듀 IT 아카데미,대기업 엔지니어와 함께하는 생성형AI 활용 서비스 개발 프로젝트 44일 과정 8기,AI서비스,"딥러닝, 자연어처리, 생성모델, 파이썬, FastAPI, 서비스기획, 크롤링, 모델학습, 생성형AI서비스",data_category
패스트캠퍼스,ChatGPT로 10분만에 일잘러 되기 : 기초부터 실무까지 완전 정복,AI서비스,"챗GPT, 엑셀프롬프트, MSCopilot, AICopilot, 노션AI, 데이터파이프라인, 업무자동화",data_category
그린온라인캠프,"챗GPT-랭체인으로 AI 웹서비스 만들기(ChatGPT4, Langchain, Llama Index, Python, Gradio)",AI서비스,"인공지능, ChatGPT4, Langchain, 딥러닝, Prompt, LlamaIndex, Gradio",data_category
패스트캠퍼스,누구나 도전! Cursor AI로 완성하는 실전 프로젝트,AI서비스,"CursorAI, Firebase, 크롬확장프로그램, Make(구Integromat), 랜딩페이지제작, 데이터자동화",data_category
솔데스크,입문자를 위한 파이썬 응용 프로젝트 구현하기,데이터분석,"파이썬, 웹크롤링, Pandas, 데이터처리, 데이터자동화, 데이터가공및전처리",data_category
멀티캠퍼스,처음 시작하는 생성형 AI - AI 제대로 활용하기,AI서비스,"AI, ChatGPT",data_category
패스트캠퍼스,AI 기술을 활용한 의료 데이터 분석과 바이오 진단,AI/ML,"ChatGPT, 트랜스포머, 머신러닝, 딥러닝, CNN, GAN, RNN, 의료이미지, 데이터중심",data_category
잇츠캠퍼스,인공지능 한바퀴: 데이터라벨링부터 모델링까지 돌아보기,AI/ML,"Python, PyTorch, CNN, DeepLearning, Tensor, DataLabelling, DataModeling",data_category
멀티캠퍼스,처음 시작하는 생성형 AI - 내게 맞는 AI Tool 찾기,AI서비스,"ChatGPT, AI",data_category
이젠아카데미DX교육센터,"ChatGPT 활용 엑셀 데이터 관리, 문서 자동화",AI서비스,"ChatGPT, 엑셀, PPT, 스프레드시트, 챗GPT",data_category
미라클평생교육원,파이썬으로 배우는 딥러닝 & 인공지능 기초,,"파이썬, 딥러닝기초, 숫자인식AI, 컬러이미지분류AI, 의류분류AI",data_category
미래디지털 원격평생교육원,실무에서 바로 쓰는 AutoML 데이터 분석(feat. AlDUez),데이터분석,"머신러닝, 딥러닝, 데이터분석, 데이터전처리, AIDUez, 머신러닝/딥러닝회귀실습, 머신러닝/딥러닝분류실습",data_category
미래디지털 원격평생교육원,파이썬을 활용한 AI 모델링 실습 (feat. Kaggle Data),AI/ML,"코랩, kaggle, pandas, EDA, 데이터전처리, 데이터시각화, 머신러닝, 분류모델, 회귀모델, 딥러닝",data_category
라인원격평생교육원,데이터 분석을 위한 Start line! 파이썬,데이터분석,"파이썬, 모듈과패키지, 조건문&반복문, 예외처리, 데이터수집, 검색자동화구현, 데이터분석",data_category
모두의연구소,데이터 사이언티스트 과정 8기,데이터사이언스,"SQL, 전처리, 통계, ML, DL, NLP, MLOps, 추천시스템",data_category
미라클평생교육원,누구나 쉽게 배우는 AI 업무 자동화 풀코스,AI서비스,"ChatGPT, Gemini, NotebookLM, 프롬프트엔지니어링, 커스텀GPT, AI비서, 멀티모달",data_category
라인원격평생교육원,인공지능 자율주행 시뮬레이션 구현,AI/ML,"머신러닝, 딥러닝, ANN, SQL, 웹크롤링, 회귀분석, 분류분석, CNN, TransferLearning, FineTuning",data_category
KH정보교육원 강남지원,데이터 분석 모델링 DBA의 첫걸음 SQL 마스터하기,데이터분석,"SQL, Oracle, 데이터모델링, SELECT문, JOIN, 서브쿼리, 단일행함수, 그룹함수, 제약조건",data_category
KH정보교육원 강남지원,왕초보를 위한 C언어 핵심요점 정리에서 데이터 시각화까지,,"C언어, 데이터, 연산자, 제어문, 함수, 배열, gnuplot, 데이터시각화, 변수, 포인터",data_category
모두의연구소,비전공자도 가능한 딥러닝 이미지 분석 모델 구현의 첫시작,데이터분석,"파이썬, 딥러닝, 텐서, 모델학습, 가중치, CNN",data_category
(주)모두의연구소,20년 차 현업 PO가 직접 알려주는 PM/PO를 위한 챗GPT 활용법,AI서비스,"챗GPT, 업무생산성, 시장조사, 사업계획서, 경쟁사분석, 페르소나, 사용자여정설계",data_category
모두의연구소,데이터 분석으로 보는 기초 통계,데이터분석,"데이터분석, 확률/통계, 데이터마이닝, 분석결과해석, 특성엔지니어링",data_category
모두의연구소,쉽게 배울 수 있는 라이브러리 기초 : 데이터 분석 필수 Library 3종 완벽 이해,데이터분석,"Pandas, Numpy, Mataplotlib",data_category
모두의연구소,"프롬프트 엔지니어링 A to Z : “챗 GPT 대답, 2% 부족할 때“",AI서비스,"챗GPT, 챗GPT활용, 프롬프트엔지니어링, 챗GPT활용콘텐츠만들기",data_category
모두의연구소,Microsoft MVP 김태영 대표의 챗GPT API활용법부터 나만의 챗봇 개발까지,AI서비스,"chatgpt, 프롬프트엔지니어링, openAI, LMS, API, 그라디오, 랭체인, 챗봇, 사용자테스트",data_category
(주)모두의연구소,상위 1% 일잘러를 위한 고급 프롬프트 엔지니어링,AI/ML,"LLM, 프롬포트엔지니어링, GPTs",data_category
모두의연구소,딥러닝으로 시작하는 컴퓨터 비젼 : 모델 구현과 태스크 해결까지,AI/ML,"컴퓨터비전, CNN, TransferLearning, ObjectDetection, Segmentation",data_category
모두의연구소,파이썬으로 시작하는 SQL 기초 문법 : 데이터 분석으로 똑똑하게 실무하기,데이터분석,"데이터베이스, SQL, Python",data_category
모두의연구소,비개발자도 챗GPT로 손쉽게 챗봇 서비스 만들기,AI서비스,"bing, canva, 랭체인, videostew, MSBingCreator, Gradio, Lasco, Vrew, Midjourney, ChatGPT",data_category
모두의연구소,비전공자를 위한 데이터 추출부터 분석 활용 실습까지,데이터분석,"Pandas, Numpy, MachineLearning, SupervisedLearning, UnsupervisedLearning",data_category
프로그래머스,데이터 분석 데브코스 9기,데이터분석,"Excel, SQL, Python, Pandas, ML, NLP, ChatGPT, Kaggle, A/B테스트, 데이터시각화",data_category
코드잇 스프린트,AI 기반 데이터 분석가 트랙 13기,데이터분석,"Python, Numpy, Matplotlib, pandas, Tableau, EDA기법, 머신러닝, SQL, 데이터엔지니어링",data_category
패스트캠퍼스,인공지능(AI) 부트캠프 (w. Upstage) 24기,데이터사이언스,"머신러닝, 딥러닝, 자연어처리, 컴퓨터비전, 모델링, LLM, LangChain, MLOps",data_category
한국직업전문학교,파이썬(Python) 프로그램 기초 1기,데이터분석,"파이썬, 프로그래밍, 파이썬기초, 객체지향프로그래밍(OOP), python",data_category
콜로소,쉽게 배우는 프롬프트 엔지니어링 기법 12가지와 GPTs 수익화,AI서비스,"챗GPT, 프롬프트엔지니어링, 플레이그라운드활용, API연결, GPT수익화",data_category
코드잇 스프린트,딥러닝 모델 기반 AI 엔지니어 트랙 8기,AI/ML,"Python, Pandas, Numpy, Matplotlib, Seaborn, PyTorch, Git, Docker, FastAPI, LLM",data_category
LG전자,LG전자 DX SCHOOL 5기,AI서비스,"Python, HTML/CSS/JavaScript, Database, HIVE, Tableau, 머신러닝, 딥러닝, 자연어처리, MLOps",data_category
애드인에듀 IT 아카데미,대기업 엔지니어와 함께하는 생성형AI 활용 서비스 개발 프로젝트 44일 과정 7기,AI서비스,"딥러닝, 자연어처리, 생성모델, 파이썬, FastAPI, 서비스기획, 크롤링, 모델학습, 생성형AI서비스",data_category
오즈코딩스쿨,헬스케어 데이터 기반 인공지능 디지털 의료 웹 서비스 개발자 양성과정 3기,AI서비스,"Python, 머신러닝, 딥러닝, 진료기록요약(NLP), HTML, CSS, Javascript, FastAPI, AWS",data_category
한국경제신문 with 토스뱅크,Tech 우수인재 양성을 위한 Full Stack / LLM 과정 3기,AI/ML,"파이썬, 데이터분석, 머신러닝, 딥러닝, LLM, GenAI, CI/CD, Docker, 웹개발기초, 웹개발심화, JavaScript",data_category
BDAI(빅데이터분석학회),BOOSTMAP & FinDA 부트캠프 2기,데이터분석,"태블로, 통계, SQL, 데이터분석, 데이터리터러시, 시각화, 금융데이터분석, 데이터시각화",data_category
MBC HRD 센터,Ai 기반 데이터 저널리스트 양성과정 1기,AI/ML,"chatGPT, 미드저니, 런웨이, 딥브레인Ai, 구글TTS, 어도비",data_category
멀티캠퍼스,금융 데이터 분석 부트캠프 12월 개강,데이터분석,"핀테크, 파이썬, 크롤링, 데이터시각화, 머신러닝, 딥러닝, 자연어처리, 시계열분석",data_category
내일도렛유인,의약품 품질관리 실무: 품질분석시험 및 데이터처리,데이터분석,"분석법중심실습, 시험기록서작성가이드, 기록관리, 분석시험, 프로젝트, GMP",data_category
멋쟁이사자처럼,AI 엔지니어 심화 부트캠프 자연어처리 3기,AI/ML,"Python, PyTorch, HuggingFace, NLTK, SentencePiece, Scikit-learn, BERT, GPT",data_category
멋쟁이사자처럼,AI 엔지니어 심화 부트캠프 이미지처리 3기,AI/ML,"Python, Scikit-learn, TensorFlow, PyTorch, OpenCV, Albumentations, YOLO, Roboflow",data_category
플레이데이터,SK네트웍스 Family AI 캠프 24기,AI/ML,"Python, SQL, Numpy, Pandas, LLM, sLLM, Git, Django, JavaScript, RAG",data_category
크래프톤,AI FELLOWSHIP PROGRAM 2026,AI/ML,인턴십,data_category
인텔,인텔 인공지능 응용앱 크리에이터 양성과정  5기,AI서비스,"생성형AI, 프롬프트엔지니어링, Python, Numpy,Pandas, EDA, GAN, LLM에이전트",data_category
내일배움캠프,데이터분석 부트캠프 11기,데이터분석,"python, SQL, 데이터시각화, 데이터분석, Tableau, A/B테스트, EDA",data_category
이스트캠프,AI모델개발 16기,AI/ML,"Python,, AI/ML,, GPT,, Prompt,, 딥러닝,, 시계열데이터,, 정형데이터,, 비정형데이터,",data_category
모두의연구소,아이펠 AI 엔지니어 1기,AI/ML,"AI, EDA, ML, CV, NLP, GenAI, Multimodal, MLOps, PyTorch, Tensorflow",data_category
모두의연구소,아이펠 리서처 16기,AI/ML,"AI, EDA, ML, CV, NLP, GenAI, Multimodal, MLOps, PyTorch, Tensorflow",data_category
유비온,빅데이터를 활용한 디지털금융 전문가 과정 5기,데이터분석,"python, sql, 금융데이터, 디지털금융, 머신러닝, 딥러닝",data_category
하이미디어아카데미 강남,심화 생성형 AI활용 인재양성과정 (조별멘토),AI서비스,"딥러닝, 영상 인식, 자연어 처리, 음성 인식, 생성 모델, GPT, AI 서비스, 웹 어플리케이션, 정보 플랫폼",data_category
미래융합교육원,건양대학교병원 바이오 메디컬 인공지능 3기,AI/ML,"임상의사결정지원시스템, Python, SQL, ML/DL, NLP, Ensemble모델, ExplainableAI, 의료데이터",data_category
구름톤 딥다이브,[kt cloud x goorm] 생성형 AI 응용 서비스 개발자 과정 (야간),AI/ML,"AI, 생성AI, 자연어처리, AI모델개발, LLM, 컴퓨터비전, OCR, 머신러닝, SQL, 데이터시각화",data_category
구디아카데미,"[위세아이텍] AI 부트캠프(파이썬, 머신러닝, 딥러닝) (12월 개강)",AI서비스,"python, openCV, MariaDB, NumPy, Pandas, BeautifulJoup, Selenium, Matplotlib, tensorFlow",data_category
구름톤 딥다이브,[kt cloud x goorm] 생성형 AI 응용 서비스 개발자 과정,AI/ML,"AI, 생성AI, 자연어처리, AI모델개발, LLM, 컴퓨터비전, OCR, 머신러닝, SQL, 데이터시각화",data_category
하이미디어아카데미,[IBM] Cloud Native AI Agent 개발자,AI/ML,"java, springboot, react, mysql, python, fastapi, docker, Jenkins, IBMwatsonx.ai, aws",data_category
(사)스마트인재개발원,헬스케어 AI융합 실무캠프,AI서비스,"AIoT, Database, 머신러닝, JavaScript, Node.js, 딥러닝, ROS2, Spring",data_category
하이미디어아카데미,IBM Cloud Native + AI 에이전트 개발자 교육,AI서비스,"java, springboot, ai, python, 클라우드, aws, ibm, react, llm, SQL",data_category
한국직업전문학교,SQL 개발자 자격증(SQLD)취득 과정,데이터분석,"SQL, 데이터분석, 자격증, SQLD, 데이터베이스",data_category
KG아이티뱅크,생성형 AI 기반 서비스 개발자 양성 과정 3기,AI/ML,"Python, Matplotlib, Seaborn, Numpy, SQLite, 웹크롤링, Selenium, 머신러닝, TensorFlow, NLP",data_category
하이미디어아카데미,삼정KPMG ESG 데이터로 실무 AI Agent 구축 5기,AI서비스,"python, react, fastapi, html/css, sql, 데이터분석, 머신런닝, llm, aws, AI",data_category
플레이데이터,SK네트웍스 Family AI 캠프 25기,AI/ML,"Python, SQL, Numpy, Pandas, LLM, sLLM, Git, Django, JavaScript, RAG",data_category
하이미디어아카데미,[삼정] ESG 데이터 활용 AX Academy with AI Agent,AI/ML,"html, fastapi, python, sql, esg, llm, aws, jenkins, 데이터분석, 머신런닝",data_category
F-Lab,데이터 엔지니어 멘토링 2025년 12월,,"파이썬, SQL, Spark, Kafka, AWS, GCP, 데이터베이스, 데이터파이프라인구축",data_category
F-Lab,머신러닝 엔지니어 멘토링 프로그램 2025년 12월,AI/ML,"데이터파이프라인, 분산컴퓨팅, 특징엔지니어링, 모델서빙, 모델아키텍처, CI/CDforML, 모델모니터링",data_category
해커스 캠퍼스 business,"효율적인 데이터 관리의 시작, SQL 실무의 모든 것",,"SQL, 데이터베이스, 데이터모델링",data_category
모두의연구소,데이터 분석가 과정 5기,데이터분석,"SQL, Python, Pandas, Tableau, 빅쿼리, 머신러닝, A/B테스트, BI도구, 서비스분석, 마케팅고도화",data_category
아시아경제 교육센터,의료/헬스케어 빅데이터 분석 기반 의학연구 및 AI 의료서비스 모델 개발과정 5기,AI/ML,"Python, DataBase, SQL, 시각화, 머신러닝, 딥러닝, 모델링, 의료데이터",data_category
두드림컴퓨터학원,"(산대특)생성형AI, 챗GPT활용 빅데이터 분석과 자동화 시스템(양성) (1회차)",데이터분석,"Phthon, JAVA, 리눅스, 빅데이터",data_category
시사IT아카데미,클라우드기반 AI활용 웹서비스 자바풀스택 실무과정 11회차,AI서비스,"AI, 클라우드, 백엔드, 프론트엔드, 풀스택, 프로젝트, OpenAI, 파이썬",data_category
시사IT아카데미,생성형 AI와 프롬프트를 활용한 자바 응용개발자 양성과정 1회차,AI서비스,"JAVA, LLM, AI, React, spring, 프롬프트",data_category
한국IT교육원,AI 미래형모빌리티 (실증도로·로봇·UAM)  4기,AI/ML,"C++, 머신러닝, 딥러닝, 컴퓨터비전, Python, sklearn, pytorch, 자율주행, 라이다, ROS2",data_category
데이터리안,SQL 데이터 분석 캠프 | 입문+실전 49기,데이터분석,"SQL, RFM고객세분화, 매출분석, 퍼널분석(Funnel), 리텐션분석(Retention), 코호트분석(Cohort)",data_category
데이터리안,SQL 데이터 분석 캠프 | 실전반 49기,데이터분석,"SQL, 서브쿼리, 윈도우함수, 퍼널분석(Funnel), 리텐션분석(Retention), 코호트분석(Cohort)",data_category
KT,AIVLE School AI개발자/DX컨설턴트 9기,AI서비스,"ML, DL, 서비스개발, 솔루션설계",data_category
원티드 포텐업,AI 에이전트 개발 트랙,AI/ML,"python, ChatGPT, LLM, MCP, LangChain, RAG",data_category
에이콘아카데미 홍대학원,한화에어로스페이스 스마트 데이터 분석과정 7기,데이터분석,"SQL, 데이터베이스, Linux, Python, 머신러닝, 스마트국방, 딥러닝, Pandas, 시각화, NumPy",data_category
KH정보교육원 부산지원,빅데이터 기반(파이썬·자바·웹) 엘라스틱 검색엔진 개발자 6회차,데이터분석,"데이터베이스, JSP&Servlet, Crawler&Scraping, Elasticsearch",data_category
IBM X RedHat,AI Transformation - AX Academy 6기,AI서비스,"python, JavaScript, Git, React, FastAPI, 딥러닝, 리눅스/네트워크, RedHat, aws, IBMWatsonx",data_category
아이티윌,오라클 데이터베이스관리자(DBA) 부트캠프 93기,,"SQL, DataBase, Linux, Shell프로그래밍, Hadoop, OracleDB어드민, SQL튜닝",data_category
멀티캠퍼스,데이터 분석가 부트캠프(AI 활용) 1월 개강,데이터분석,"python, SQL, 머신러닝, 딥러닝, Git/Github",data_category
현대로템,K-방산 Smart AI 모델 개발과정 6기,AI/ML,"python, Django, Flask, MongoDB, SQL, Numpy, Pandas, ML, DL",data_category
아이티윌,데이터 분석 부트캠프 54기,데이터분석,"SQL, DataBase, Python, Python라이브러리, 데이터시각화Tableau, 데이터모델링&분석",data_category
국제인재개발원,고품질 이미지 AI 모델 개발자 양성과정 1기,AI서비스,"인공지능, 파이썬, 자바, 머신러닝, 딥러닝, 웹개발, Numpy, Scikit-Learn, Tensorflow",data_category
T아카데미,[SK플래닛] AI활용 데이터 엔지니어 2기,,"FastAPI, CI/CD, 클라우드, LLM, ETL, 데이터파이프라인, 기업프로젝트, Terraform",data_category
