combined_text,cluster,pca_1,pca_2
" R, JavaScript, Java, 포토샵, PPT",4,-0.09793083257196235,-0.2076648028122818
" R, 피그마",2,-0.10924678398737275,-0.05704442607900629
" Excel, R",8,-0.17519534738422315,0.05103248300316905
" Figma, 데이터",9,0.26444196960568467,0.21361319966938205
" R, Photoshop, 포토샵",4,-0.2236781353423263,-0.08277528596486876
" Figma, R, Git",9,-0.03663274462358066,-0.20159018179853824
" R, Illustrator, Photoshop",2,-0.17552775527446152,-0.11761195434786205
" R, Photoshop, 포토샵",4,-0.2236781353423263,-0.08277528596486876
" Figma, R, 데이터",9,0.26444196960568467,0.21361319966938205
 R,2,-0.10025473039657828,-0.06177524821727251
" Figma, Photoshop",9,-0.14618365235995653,-0.10522000306380618
" R, 데이터",3,0.6621841195505751,0.5352238023587865
"생성형 AI, 생성형 R, Illustrator, Photoshop, 데이터",2,-0.014356535572231167,-0.009979903439992603
" R, Illustrator, 포토샵",4,-0.20532766793434484,-0.07093235207652701
" R, React, Java",2,0.004942773277512933,-0.2959433729070771
" R, Illustrator, Photoshop",2,-0.17552775527446152,-0.11761195434786205
" R, 데이터",3,0.6621841195505751,0.5352238023587865
 R,2,-0.10025473039657828,-0.06177524821727251
" R, Slack, OA, 데이터, Figma, Jira, React, Git",2,0.10930658623404366,-0.05528124762849237
" Figma, R, Photoshop",9,-0.14618365235995653,-0.10522000306380618
" R, 데이터, Linux, Java, SQL, Python",0,0.3593860759170832,-0.28460233274776053
" 일러스트, Figma, R, 포토샵",4,-0.19441084438458478,-0.057648160453350035
"AI 툴 R, 데이터, Figma, 피그마, GA4",9,0.08633652322126259,0.07344887875415944
" R, 데이터",3,0.6621841195505751,0.5352238023587865
 Figma,9,-0.10096473395482415,-0.07392190899565373
" R, Docker, JavaScript, 데이터, Linux, Figma, Illustrator, AWS, SQL, Java, 피그마, Photoshop, Git",0,0.18792652440150157,-0.3566307952478186
 Figma,9,-0.10096473395482415,-0.07392190899565373
" 일러스트, R, 포토샵",4,-0.21291489711352057,-0.048725197666391176
" R, 피그마, ERP, 데이터",2,-0.005172519124640764,0.27521180827062064
 Figma,9,-0.10096473395482415,-0.07392190899565373
" 엑셀, Data, Excel, PowerPoint, ERP, R, 데이터, Jira, Spring, AWS, SQL, Java, Vue, Python, Confluence",0,0.013428316032813123,-0.13758491114690075
" R, PPT",2,-0.1588915194250003,-0.022457348713127868
" R, 데이터, Figma, Jira, Confluence",9,0.1078978759854754,0.04529596793605854
" R, 피그마, ERP, 데이터",2,-0.005172519124640764,0.27521180827062064
 피그마,2,-0.10924678398737275,-0.05704442607900629
" Figma, R",9,-0.10096473395482415,-0.07392190899565373
" Figma, 데이터",9,0.26444196960568467,0.21361319966938205
" Figma, R, 데이터",9,0.26444196960568467,0.21361319966938205
" 프리미어, R",2,-0.1321544185890559,-0.06121518284845041
" 프리미어, 포토샵, 일러스트",4,-0.2104408162143741,-0.05083596723006736
" 프리미어, R, 데이터",2,0.21675919391980986,0.209216762430086
" 프리미어, 일러스트",4,-0.1626043717842049,-0.061915875788554585
" 프리미어, OA, 포토샵, 데이터",4,0.06500776879128273,0.1448374418762715
" 프리미어, R, 포토샵, 데이터",4,0.08197987937204457,0.16578070351601726
" 포토샵, 데이터",4,0.18819641560409425,0.2583136268215854
 프리미어,2,-0.1321544185890559,-0.06121518284845041
" After Effects, R, Premiere",2,-0.13464299525795007,-0.09149651165471528
 데이터,3,0.6621841195505751,0.5352238023587865
 OA,1,-0.08135014264068469,-0.037691049083685105
" R, 데이터, Premiere, After Effects, Photoshop",2,0.012954685825258222,0.024821444968864608
 R,2,-0.10025473039657828,-0.06177524821727251
 프리미어,2,-0.1321544185890559,-0.06121518284845041
" R, 포토샵, 에펙",4,-0.2117241886551001,-0.03991865079604219
" 프리미어, 포토샵, 일러스트",4,-0.2104408162143741,-0.05083596723006736
 R,2,-0.10025473039657828,-0.06177524821727251
" 프리미어, R, 포토샵, 일러스트",4,-0.2104408162143741,-0.05083596723006736
" R, Illustrator, Premiere, After Effects, Photoshop",2,-0.171037546670621,-0.11776345680525203
"AI 툴 R, Illustrator, Photoshop, Premiere",2,-0.16453595757364856,-0.1222593917435694
"Midjourney, AI 활용, Gemini, 생성형 AI, 생성형 R, Premiere",2,-0.11395834135139199,-0.09783021077697354
" 프리미어, R",2,-0.1321544185890559,-0.06121518284845041
"생성형 AI, 생성형 R, 파이썬, SQL, 데이터",2,0.05111800924393545,-0.04512645436907661
" R, 데이터",3,0.6621841195505751,0.5352238023587865
"AI 툴, Midjourney After Effects, R, Photoshop, Premiere",2,-0.15169048111145617,-0.1129527669824413
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
" 일러스트, 포토샵",4,-0.21291489711352057,-0.048725197666391176
 프리미어,2,-0.1321544185890559,-0.06121518284845041
 포토샵,4,-0.2117241886551001,-0.03991865079604219
" R, 데이터",3,0.6621841195505751,0.5352238023587865
 프리미어,2,-0.1321544185890559,-0.06121518284845041
 R,2,-0.10025473039657828,-0.06177524821727251
" R, Illustrator, Photoshop",2,-0.17552775527446152,-0.11761195434786205
 R,2,-0.10025473039657828,-0.06177524821727251
" R, 포토샵",4,-0.2117241886551001,-0.03991865079604219
 데이터,3,0.6621841195505751,0.5352238023587865
"프롬프트 프리미어, 포토샵",4,-0.16752822317193383,-0.06262129338351911
"프롬프트 프리미어, R",2,-0.11827755059597733,-0.07404959715377657
 데이터,3,0.6621841195505751,0.5352238023587865
 R,2,-0.10025473039657828,-0.06177524821727251
"Midjourney, Firefly R, Illustrator, Photoshop, Premiere",2,-0.15151516401682227,-0.10110072787092282
 OA,1,-0.08135014264068469,-0.037691049083685105
" 프리미어, R, 포토샵",4,-0.19747528426447372,-0.0470095129506055
" R, Illustrator, Premiere, After Effects, Photoshop",2,-0.171037546670621,-0.11776345680525203
" R, ERP",7,-0.4043889954239821,0.21626579330260084
 R,2,-0.10025473039657828,-0.06177524821727251
" R, Illustrator, 포토샵, Premiere, After Effects, Photoshop, PPT",2,-0.21872078307061582,-0.08894187804905221
" Excel, PowerPoint, ERP, R",8,-0.29644128414971144,0.1474946699193246
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, Excel, Data, PowerPoint, ERP, R, 데이터, OA, SAP",8,-0.21721672579638424,0.28323868680572284
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, 데이터, PPT",6,-0.08041999377177783,0.3358819467487726
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, R",6,-0.47456671345232015,0.2152681943960802
 R,2,-0.10025473039657828,-0.06177524821727251
 엑셀,6,-0.47456671345232015,0.2152681943960802
 R,2,-0.10025473039657828,-0.06177524821727251
" Data, R",2,-0.06760615302514103,-0.13124797714968187
 R,2,-0.10025473039657828,-0.06177524821727251
"Midjourney, 생성형 AI, 생성형, AI 툴, Firefly R",2,-0.10821541501806684,-0.08817850587229359
" R, OA",1,-0.08135014264068469,-0.037691049083685105
" R, 데이터",3,0.6621841195505751,0.5352238023587865
" R, ERP, 데이터",7,0.07296050515178669,0.5021468110446702
" R, 데이터",3,0.6621841195505751,0.5352238023587865
 R,2,-0.10025473039657828,-0.06177524821727251
"GPT, LLM Python, R, SQL, 데이터",2,0.1810888319168483,-0.09351960021361932
" R, 데이터",3,0.6621841195505751,0.5352238023587865
"GPT, LLM, 생성형, 생성형 AI Python, R, SQL, 데이터",2,0.0651392856846275,-0.09798659476153249
" 엑셀, R, 포토샵, 데이터",4,-0.10524240005254407,0.3611027615388926
" R, ERP",7,-0.4043889954239821,0.21626579330260084
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, Excel, R, InDesign, ERP, 데이터, OA, Figma, Illustrator, 일러스트, 포토샵, Photoshop, SAP, PPT",8,-0.2991944579022099,0.22169270553043502
" 일러스트, R, ERP, 포토샵",4,-0.34398506895048003,0.08191981347913622
" Excel, PowerPoint, R, ERP, 데이터, Illustrator, SQL, Python, SAP, PPT",8,-0.08736386390914778,0.09235375094465795
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" R, ERP",7,-0.4043889954239821,0.21626579330260084
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, Excel, Data, PowerPoint, ERP, R, 데이터, OA, SAP",8,-0.21721672579638424,0.28323868680572284
" Excel, PowerPoint, R, ERP, 데이터, Git",8,-0.03016024936474968,0.19479212645297436
 엑셀,6,-0.47456671345232015,0.2152681943960802
" Excel, 데이터",8,0.20201439940287697,0.32510630459394185
" 엑셀, R, ERP",6,-0.5810568750643436,0.3305946234103573
" 엑셀, R",6,-0.47456671345232015,0.2152681943960802
" R, OA",1,-0.08135014264068469,-0.037691049083685105
 R,2,-0.10025473039657828,-0.06177524821727251
" Excel, PowerPoint, ERP, R",8,-0.29644128414971144,0.1474946699193246
" R, Notion, Slack",2,-0.08621563802349376,-0.09095051005632133
" Notion, OA, Slack, 데이터",1,0.11433489579326878,0.07562496372397684
 R,2,-0.10025473039657828,-0.06177524821727251
 엑셀,6,-0.47456671345232015,0.2152681943960802
" R, ERP, 데이터",7,0.07296050515178669,0.5021468110446702
 엑셀,6,-0.47456671345232015,0.2152681943960802
AI 활용 R,2,-0.10937443757207399,-0.09649453958405525
" R, 데이터",3,0.6621841195505751,0.5352238023587865
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
" R, ERP, SAP",5,-0.3687697865963975,0.1541944567260458
 R,2,-0.10025473039657828,-0.06177524821727251
" R, ERP, SAP",5,-0.3687697865963975,0.1541944567260458
 R,2,-0.10025473039657828,-0.06177524821727251
 엑셀,6,-0.47456671345232015,0.2152681943960802
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, R",6,-0.47456671345232015,0.2152681943960802
 데이터,3,0.6621841195505751,0.5352238023587865
" 엑셀, Excel, R, 데이터",8,-0.0840148543129088,0.4139334863348865
 데이터,3,0.6621841195505751,0.5352238023587865
" R, 데이터",3,0.6621841195505751,0.5352238023587865
" 엑셀, R, OA, SAP",5,-0.35176384232120933,0.13401775866282684
" R, Notion, Slack",2,-0.08621563802349376,-0.09095051005632133
 데이터,3,0.6621841195505751,0.5352238023587865
 R,2,-0.10025473039657828,-0.06177524821727251
" R, SAP",5,-0.2095084111480397,0.0014293662546558188
 엑셀,6,-0.47456671345232015,0.2152681943960802
 R,2,-0.10025473039657828,-0.06177524821727251
" R, 데이터",3,0.6621841195505751,0.5352238023587865
 R,2,-0.10025473039657828,-0.06177524821727251
" R, ERP, SAP",5,-0.3687697865963975,0.1541944567260458
" 엑셀, SAP",5,-0.4159104904508531,0.15789717720093283
 R,2,-0.10025473039657828,-0.06177524821727251
 엑셀,6,-0.47456671345232015,0.2152681943960802
 R,2,-0.10025473039657828,-0.06177524821727251
" After Effects, R, Photoshop, Premiere",2,-0.15830854244455872,-0.10933253569135827
"GPT 엑셀, R, ERP",6,-0.4294399139192863,0.18735920289008412
" R, SAP",5,-0.2095084111480397,0.0014293662546558188
 R,2,-0.10025473039657828,-0.06177524821727251
 Excel,8,-0.17519534738422315,0.05103248300316905
 엑셀,6,-0.47456671345232015,0.2152681943960802
" R, SAP",5,-0.2095084111480397,0.0014293662546558188
"GPT R, OA",1,-0.0932159056652225,-0.0656252951080869
" R, ERP, SAP",5,-0.3687697865963975,0.1541944567260458
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, R, 데이터",6,-0.0041484639300812505,0.493545460251631
" Figma, R, Photoshop",9,-0.14618365235995653,-0.10522000306380618
" R, OA, 데이터",1,0.30075876897620524,0.26023689375073267
 R,2,-0.10025473039657828,-0.06177524821727251
" R, 데이터",3,0.6621841195505751,0.5352238023587865
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, Excel, R, 포토샵, PPT",8,-0.38654158314422676,0.14783623393676312
" R, 데이터",3,0.6621841195505751,0.5352238023587865
" R, OA, GA4, 데이터",1,0.30075876897620524,0.26023689375073267
" 엑셀, Excel, R, 포토샵, PPT",8,-0.38654158314422676,0.14783623393676312
" R, 데이터",3,0.6621841195505751,0.5352238023587865
" 엑셀, R, OA, 데이터, 포토샵",1,-0.09377067283368791,0.3017132293231423
" R, OA, 데이터",1,0.30075876897620524,0.26023689375073267
" 엑셀, 포토샵, 일러스트, PPT",4,-0.36840572982100395,0.08343238960455894
" 엑셀, R, GA4, 데이터",6,-0.0041484639300812505,0.493545460251631
" 프리미어, R, 포토샵, 데이터",4,0.08197987937204457,0.16578070351601726
" Figma, R, Photoshop",9,-0.14618365235995653,-0.10522000306380618
" R, 데이터",3,0.6621841195505751,0.5352238023587865
" After Effects, R, Photoshop, Premiere",2,-0.15830854244455872,-0.10933253569135827
" 엑셀, Excel, R, 포토샵, PPT",8,-0.38654158314422676,0.14783623393676312
" R, 데이터",3,0.6621841195505751,0.5352238023587865
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" R, OA, GA4, 데이터",1,0.30075876897620524,0.26023689375073267
" 엑셀, Excel, R, 포토샵, PPT",8,-0.38654158314422676,0.14783623393676312
" 프리미어, R, 데이터",2,0.21675919391980986,0.209216762430086
" R, 데이터",3,0.6621841195505751,0.5352238023587865
" R, 데이터",3,0.6621841195505751,0.5352238023587865
" R, OA, 데이터",1,0.30075876897620524,0.26023689375073267
" 엑셀, 포토샵, 일러스트, PPT",4,-0.36840572982100395,0.08343238960455894
" 엑셀, R, GA4, 데이터",6,-0.0041484639300812505,0.493545460251631
" R, 데이터, PPT",2,0.1755686988457698,0.23110012205304165
" 일러스트, R, 포토샵, 데이터",4,0.05442128660692103,0.1545057849128564
 R,2,-0.10025473039657813,-0.06177524821727256
" 프리미어, 포토샵",4,-0.1974752842644737,-0.04700951295060558
" R, 데이터",3,0.6621841195505753,0.5352238023587867
" R, 데이터",3,0.6621841195505753,0.5352238023587867
 엑셀,6,-0.4745667134523202,0.21526819439608025
 R,2,-0.10025473039657816,-0.06177524821727254
 R,2,-0.10025473039657816,-0.06177524821727254
" 엑셀, GA4, 데이터, PPT",6,-0.08041999377177768,0.33588194674877264
" R, 데이터",3,0.6621841195505752,0.5352238023587867
 데이터,3,0.6621841195505752,0.5352238023587866
" R, 데이터",3,0.6621841195505752,0.5352238023587866
" R, 데이터",3,0.6621841195505752,0.5352238023587866
